time_stamp,wall_sn,wall_family,wall_columns,wall_rows,wall_orientation,timezone,customerlocation,wall_uid,sysenv,uptimetotal,uptime,wall_sw_version,onboarding,ntpmode,customername,disp_sn,position_col,position_row,display_temp,inputboard_temp,ambient_temp,videoboard_temp,laserDrv_temp,redLaser_temp,grnLaser1_temp,grnLaser2_temp,bluLaser_temp,fan1_speed,fan2_speed,fan3_speed,wall_state,wall_brightness,wall_ecomode,wall_colortemperature,wall_fastresponse,wall_localdimming,wall_uniformitystrength,display_connectionstate,redlevel,greenlevel,bluelevel,display_currentbrightness,display_minbrightness,display_maxbrightness,display_powermode,display_psu1_health,display_psu2_health,display_activeinput,display_inputmode,display_coolingload_temp,display_current_load,display_average_load,display_total_memory,display_used_memory,display_free_memory
2020-08-29 15:27:03.841557,6820730038,RPCVW,1,1,landscape,America/Danmarkshavn,"Noida,India",GBCM-e302964d011451d4-0001,gbcm,3026576,102885,2.6.0.0.1597291757,true,automatic,,6820816494,0,0,38,38,31,NONE,53,25,41,NA,39,1810,NA,1807,on,81,0,9300,0,1,0,connected,0.7003663003663,0.903540903540904,0.632478632478632,545,181,627,STANDARD,INVALID_REQ,INVALID_REQ,NONE,MANUAL,51,0,0,497,109,387
2020-08-29 15:27:51.019878,9430766240,RPCVW,1,1,landscape,Asia/Kolkata,"noida,India",GBCM-eacb46490e0349d4-0001,gbcm,17958741,90538,2.6.0.0.1595390073,true,automatic,barco,9810061422,0,0,36,36,28,NONE,49,25,42,NA,39,1787,NA,1785,on,74,0,6500,0,0,0,connected,0.7003663003663,0.903540903540904,0.632478632478632,253,30,288,STANDARD,INVALID_REQ,INVALID_REQ,NONE,MANUAL,45,23,18,497,75,421
2020-08-29 15:28:38.336076,9430363625,RPCVW,2,2,landscape,Asia/Kolkata,"Noida,India",GBCM-e6b60b091b2189d4-0001,gbcm,11058772,99699,2.6.0.0.1598390129,INVALID_REQ,automatic,Barco,6820888693,0,0,41,41,33,NONE,51,25,44,NA,42,1817,NA,1785,on,54,0,9300,0,1,0,connected,0.7003663003663,0.903540903540904,0.632478632478632,335,49,573,STANDARD,INVALID_REQ,INVALID_REQ,NONE,MANUAL,46,1,0,497,107,389
2020-08-29 15:29:10.331282,9430363625,RPCVW,2,2,landscape,Asia/Kolkata,"Noida,India",GBCM-e6b60b091b2189d4-0001,gbcm,11058772,99699,2.6.0.0.1598390129,INVALID_REQ,automatic,Barco,6820834561,1,0,43,43,33,NONE,54,25,45,NA,43,1652,NA,1811,on,54,0,9300,0,1,0,connected,0.7003663003663,0.903540903540904,0.632478632478632,331,147,495,STANDARD,INVALID_REQ,INVALID_REQ,NONE,MANUAL,63,0,0,497,113,383
2020-08-29 15:29:42.295889,9430363625,RPCVW,2,2,landscape,Asia/Kolkata,"Noida,India",GBCM-e6b60b091b2189d4-0001,gbcm,11058772,99699,2.6.0.0.1598390129,INVALID_REQ,automatic,Barco,6820816497,0,1,41,41,31,NONE,54,25,53,NA,39,1790,NA,1782,on,54,0,9300,0,1,0,connected,0.7003663003663,0.903540903540904,0.632478632478632,335,145,605,STANDARD,INVALID_REQ,INVALID_REQ,NONE,MANUAL,55,0,0,497,110,387
2020-08-29 15:30:14.310824,9430363625,RPCVW,2,2,landscape,Asia/Kolkata,"Noida,India",GBCM-e6b60b091b2189d4-0001,gbcm,11058772,99699,2.6.0.0.1598390129,INVALID_REQ,automatic,Barco,6820816498,1,1,39,39,32,NONE,52,24,41,NA,41,1807,NA,1813,on,54,0,9300,0,1,0,connected,0.7003663003663,0.903540903540904,0.632478632478632,333,160,571,STANDARD,INVALID_REQ,INVALID_REQ,NONE,MANUAL,79,11,9,497,105,391
2020-08-29 15:31:02.409802,6820210626,LCDVW,2,4,landscape,America/Danmarkshavn,"noi,India",GBCM-d81917c51422c1d4-0001,gbcm,5147004,114206,2.6.0.0.1595232786,true,automatic,barco,5997095092,0,1,41,41,NONE,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,idle,80,0,9300,0,1,0,connected,NONE,NONE,NONE,0,101,484,STANDARD,INVALID_REQ,INVALID_REQ,NONE,AUTOSCAN,NONE,20,18,497,87,409
2020-08-29 15:31:22.550918,6820210626,LCDVW,2,4,landscape,America/Danmarkshavn,"noi,India",GBCM-d81917c51422c1d4-0001,gbcm,5147004,114206,2.6.0.0.1595232786,true,automatic,barco,5997095073,0,2,39,39,NONE,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,idle,80,0,9300,0,1,0,connected,NONE,NONE,NONE,0,96,460,STANDARD,INVALID_REQ,INVALID_REQ,NONE,AUTOSCAN,NONE,1,0,497,79,417
2020-08-29 15:31:43.626963,6820210626,LCDVW,2,4,landscape,America/Danmarkshavn,"noi,India",GBCM-d81917c51422c1d4-0001,gbcm,5147004,114206,2.6.0.0.1595232786,true,automatic,barco,5997095091,1,2,39,39,NONE,43,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,idle,80,0,9300,0,1,0,connected,NONE,NONE,NONE,0,103,491,STANDARD,INVALID_REQ,INVALID_REQ,NONE,MANUAL,NONE,0,0,497,80,416
2020-08-29 15:32:03.228831,6820210626,LCDVW,2,4,landscape,America/Danmarkshavn,"noi,India",GBCM-d81917c51422c1d4-0001,gbcm,5147004,114206,2.6.0.0.1595232786,true,automatic,barco,5997095283,0,0,41,41,NONE,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,idle,80,0,9300,0,1,0,connected,NONE,NONE,NONE,0,98,474,STANDARD,INVALID_REQ,INVALID_REQ,NONE,AUTOSCAN,NONE,0,0,497,85,412
